k,a,b,y,f(y),z,f(z),erro,min
0,0.0,10.0,3.819660112501051,0.671842700025219,6.180339887498949,10.1145618000168,10.0,5.0
1,0.0,6.180339887498949,2.3606797749978967,0.408730350096735,3.819660112501051,0.671842700025219,6.180339887498949,3.0901699437494745
2,0.0,3.819660112501051,1.458980337503154,2.37474160020189,2.3606797749978967,0.408730350096735,3.819660112501051,1.9098300562505255
3,1.458980337503154,3.819660112501051,2.3606797749978967,0.408730350096735,2.9179606750063085,0.0067304508454114,2.360679774997897,2.6393202250021024
4,2.3606797749978967,3.819660112501051,2.9179606750063085,0.0067304508454114,3.262379212492639,0.0688428511482454,1.4589803375031543,3.0901699437494736
5,2.3606797749978967,3.262379212492639,2.705098312484227,0.086967005299637,2.9179606750063085,0.0067304508454114,0.9016994374947425,2.811529493745268
6,2.705098312484227,3.262379212492639,2.9179606750063085,0.0067304508454114,3.049516849970557,0.00245191843100103,0.5572809000084122,2.983738762488433
7,2.9179606750063085,3.262379212492639,3.049516849970557,0.00245191843100103,3.1308230375283905,0.0171146671481441,0.34441853748633067,3.0901699437494736
8,2.9179606750063085,3.1308230375283905,2.999266862564142,5.37490487394499e-07,3.049516849970557,0.00245191843100103,0.21286236252208202,3.0243918562673495
9,2.9179606750063085,3.049516849970557,2.9682106624127234,0.00101056198422856,2.999266862564142,5.37490487394499e-07,0.13155617496424865,2.983738762488433
10,2.9682106624127234,3.049516849970557,2.999266862564142,5.37490487394499e-07,3.0184606498191386,0.000340795591737581,0.08130618755783381,3.0088637561916403
11,2.9682106624127234,3.0184606498191386,2.9874044496677197,0.000158647888161371,2.999266862564142,5.37490487394499e-07,0.050249987406415286,2.993335656115931
12,2.9874044496677197,3.0184606498191386,2.999266862564142,5.37490487394499e-07,3.0065982369227164,4.3536730478254e-05,0.031056200151418967,3.002932549743429
13,2.9874044496677197,3.0065982369227164,2.994735824026294,2.77115486732514e-05,2.999266862564142,5.37490487394499e-07,0.019193787254996764,2.997001343295218
14,2.994735824026294,3.0065982369227164,2.999266862564142,5.37490487394499e-07,3.002067198384868,4.27330914981904e-06,0.011862412896422647,3.000667030474505
15,2.994735824026294,3.002067198384868,2.99753615984702,6.07050828954256e-06,2.999266862564142,5.37490487394499e-07,0.0073313743585741165,2.998401511205581
16,2.99753615984702,3.002067198384868,2.999266862564142,5.37490487394499e-07,3.0003364956677454,1.13229327858793e-07,0.004531038537848087,2.9998016791159436
17,2.999266862564142,3.002067198384868,3.0003364956677454,1.13229327858793e-07,3.0009975652812644,9.95136476057809e-07,0.00280033582072603,3.0006670304745047
18,2.999266862564142,3.0009975652812644,2.999927932177661,5.19376336372303e-09,3.0003364956677454,1.13229327858793e-07,0.001730702717122501,3.0001322139227034
19,2.999266862564142,3.0003364956677454,2.9996754260542264,1.05348236522709e-07,2.999927932177661,5.19376336372303e-09,0.001069633103603529,2.9998016791159436
20,2.9996754260542264,3.0003364956677454,2.999927932177661,5.19376336372303e-09,3.000083989544311,7.0542271469891e-09,0.000661069613518972,3.000005960860986
